Pos	RPF_avg	mRNA_avg	RPF_avg_nostall	mRNA_avg_nostall
55	0.94101	0.00646423	0.940237	0.00612071
56	1.05057	0.00684876	1.11522	0.00664804
57	1.21587	0.00813606	1.19741	0.00774338
58	0.934355	0.00621523	0.937407	0.00594525
59	1.37723	0.00850599	1.3779	0.00829811
60	0.894786	0.00634338	0.887978	0.00604401
61	1.04544	0.00717205	1.04096	0.00683151
62	0.988027	0.00689954	1.00637	0.00673336
63	0.772202	0.00571645	0.781782	0.00540104
64	1.00328	0.00786577	0.992194	0.00738534
65	0.982656	0.00652072	0.955214	0.00611242
66	1.18624	0.00673191	1.17189	0.00643579
67	1.09385	0.00663022	1.05161	0.00616293
68	1.04419	0.00644232	1.06483	0.00622779
69	1.01297	0.00668783	1.02152	0.00654608
70	0.974798	0.0059194	0.980692	0.00550032
71	1.1637	0.00787332	1.13889	0.00742719
72	0.910844	0.00634781	0.923734	0.00609679
73	0.904501	0.00612256	0.91646	0.00593715
74	1.11573	0.00632312	1.12935	0.00620619
75	0.789638	0.00590997	0.768204	0.00546542
76	1.0653	0.00677217	1.06902	0.00651836
77	1.0545	0.0066225	1.03508	0.00628044
78	0.956517	0.00702926	0.96958	0.00676267
79	0.955394	0.00523108	0.953122	0.00503743
80	1.02782	0.00747019	1.04419	0.00729886
81	0.91384	0.00611285	0.902701	0.00565052
82	0.965333	0.00627455	0.962134	0.00600445
83	0.866945	0.00634422	0.877787	0.00615282
84	1.25402	0.00746414	1.26151	0.00714456
85	1.01707	0.0072301	0.975737	0.00671241
86	0.9695	0.00709182	0.970777	0.00679576
87	1.19311	0.00688542	1.18823	0.0066535
88	0.954288	0.00558814	0.962688	0.005422
89	0.804808	0.00583867	0.804389	0.00562754
90	1.00345	0.00740429	1.00599	0.00712461
91	1.10121	0.00629942	1.10806	0.00608572
92	0.885298	0.00643226	0.870148	0.00605309
93	0.789477	0.00605491	0.789958	0.00580322
94	1.08403	0.00653682	1.06641	0.00620941
95	1.0494	0.00699338	0.989807	0.00634347
96	0.933208	0.00644634	0.923024	0.00604064
97	0.845675	0.00575208	0.832527	0.0053508
98	0.955529	0.00613615	0.975662	0.00596118
99	0.918408	0.00608103	0.944898	0.0058722
100	1.00045	0.00697862	1.01903	0.0066475
101	1.3116	0.00798391	1.32179	0.00778199
102	1.22673	0.00807288	1.1988	0.00747914
103	0.780165	0.00568324	0.758897	0.00538284
104	1.1511	0.00715611	1.13854	0.0068275
105	1.25215	0.00819408	1.20115	0.00758341
106	0.768818	0.00536606	0.767079	0.00500836
107	0.843391	0.00648604	0.798694	0.00591083
108	1.02121	0.00634854	1.04098	0.00617588
109	0.904104	0.00659999	0.895949	0.00610121
110	1.16094	0.00735527	1.18498	0.00718042
111	1.00043	0.00716064	1.04827	0.00700877
112	1.01986	0.00762263	0.999723	0.00710656
113	1.20446	0.00746128	1.20311	0.00724906
114	0.994862	0.0062239	0.985844	0.00593358
115	1.1287	0.00710027	1.11739	0.00673368
116	1.03456	0.00660439	1.03433	0.00635786
117	1.00045	0.00658922	0.996956	0.00602245
118	1.22564	0.00742075	1.23963	0.00718362
119	1.00532	0.00658938	0.988528	0.00603702
120	1.12709	0.0070012	1.11398	0.00675043
121	1.15587	0.00615222	1.17364	0.00599966
122	1.21271	0.00664559	1.22671	0.00628054
123	0.956284	0.00605329	0.941801	0.00578058
124	0.9685	0.00657765	0.974392	0.00643784
125	0.945208	0.00619905	0.964558	0.00599532
126	0.99473	0.00610232	1.00025	0.00586505
127	1.07518	0.00723247	1.03803	0.00652648
128	0.712688	0.00525331	0.712606	0.00499488
129	0.643824	0.00467805	0.624587	0.00433192
130	0.899312	0.00567987	0.892903	0.00541942
131	0.670206	0.00482442	0.682184	0.00473763
132	1.07174	0.00653971	1.07044	0.00627093
133	0.840686	0.00592075	0.843054	0.00562717
134	0.882377	0.00541886	0.906081	0.00531273
135	1.12736	0.00734555	1.11838	0.00706265
136	0.916575	0.00599154	0.900653	0.00563197
137	1.04241	0.00621743	0.994806	0.00564553
138	0.867302	0.00546698	0.864991	0.00525856
139	1.00215	0.00664088	0.977851	0.0062422
140	1.02726	0.00649684	1.05058	0.0063182
141	0.958994	0.00555594	1.03185	0.00543664
142	1.3662	0.00786931	1.38031	0.00768936
143	1.21438	0.0065916	1.23839	0.00628536
144	0.943215	0.00559065	0.969988	0.00548965
145	1.13969	0.00637725	1.13742	0.00603221
146	1.1826	0.0071274	1.1756	0.00680778
147	0.753631	0.005738	0.761772	0.00566162
148	0.937944	0.00617582	0.953133	0.00596908
149	0.985894	0.00637362	0.977373	0.00601063
150	1.27043	0.00809555	1.28245	0.00782866
151	1.01905	0.00629198	1.01682	0.00607325
152	1.00981	0.00624039	1.01453	0.0061057
153	1.10803	0.00729446	1.12241	0.00708529
154	0.849031	0.00546959	0.864052	0.00528768
155	1.13428	0.00653073	1.13213	0.00619748
156	0.983647	0.00613242	0.968263	0.00568824
157	0.927729	0.0055231	0.948716	0.00549754
158	0.897811	0.00598846	0.898125	0.00579644
159	1.00498	0.00580176	1.0189	0.00568002
160	0.964506	0.00544044	0.968072	0.00522019
161	1.04259	0.00696925	1.03885	0.00672991
162	0.824807	0.00595193	0.844862	0.00587844
163	0.9702	0.00630012	0.995499	0.00602233
164	1.20595	0.006788	1.20459	0.00658572
165	1.11271	0.00651649	1.14297	0.00639061
166	0.757308	0.00523643	0.727886	0.00473913
167	0.915091	0.00589086	0.924616	0.005795
168	0.864869	0.00584187	0.899782	0.00547062
169	0.803527	0.00570113	0.814077	0.00561366
170	1.0254	0.00646567	1.0411	0.00630743
171	0.726874	0.00500362	0.736766	0.00481929
172	0.785433	0.00509499	0.786008	0.00492495
173	0.979513	0.00635224	0.975028	0.00604049
174	1.11759	0.00606527	1.12558	0.00596865
175	0.842757	0.00528599	0.854818	0.0052053
176	1.24188	0.00659959	1.23549	0.00639991
177	0.882173	0.00581851	0.890047	0.00561892
178	0.808499	0.00475171	0.800696	0.00451744
179	0.893258	0.00544889	0.899725	0.00523197
180	1.04018	0.00609475	1.04591	0.00582398
181	0.805656	0.00525289	0.82044	0.00513229
182	1.03165	0.00572592	1.09683	0.00542873
183	0.935924	0.00609223	0.942421	0.00582788
184	1.04457	0.00624517	1.03878	0.00599278
185	1.09046	0.00663784	1.0967	0.00653795
186	1.04009	0.00633548	1.07316	0.00618171
187	0.79181	0.00557365	0.793819	0.0053188
188	0.831913	0.00557805	0.831882	0.00531067
189	1.03684	0.00686258	1.04841	0.00674712
190	1.08904	0.00666418	1.08013	0.00643912
191	0.913798	0.0052239	0.908723	0.00507654
192	1.00786	0.00609943	1.01284	0.0058548
193	0.764258	0.0053363	0.796891	0.00517719
194	1.31149	0.00783849	1.30197	0.00754109
195	1.02612	0.00562419	1.04312	0.00551836
196	1.0383	0.00551051	1.05788	0.00544412
197	0.809756	0.00540731	0.817053	0.00517342
198	1.1062	0.0063317	1.1102	0.00600035
199	0.837649	0.00540429	0.865547	0.00533995
200	1.16307	0.00654643	1.12161	0.00617036
201	0.890181	0.00514745	0.853647	0.0048219
202	0.765643	0.00528043	0.789078	0.00517526
203	0.935927	0.00519805	0.953259	0.00513912
204	1.19345	0.00687709	1.21862	0.00675517
205	0.845828	0.00524521	0.84984	0.00512694
206	1.21806	0.00722374	1.2249	0.00698779
207	1.10464	0.0060224	1.11996	0.00591321
208	1.09495	0.00669345	1.09685	0.00650195
209	0.75621	0.00515831	0.754219	0.00485401
210	0.995497	0.00552012	0.951965	0.00514043
211	1.09622	0.0065123	1.08178	0.00627297
212	0.808138	0.00481588	0.808485	0.004634
213	1.10822	0.00564895	1.13552	0.00553296
214	1.10188	0.00524862	1.10551	0.00507799
215	0.836759	0.00539118	0.832869	0.00526324
216	0.82955	0.00547713	0.836146	0.00526294
217	1.26248	0.00697219	1.25919	0.00677658
218	0.735516	0.00481684	0.747513	0.00470249
219	0.826904	0.00507752	0.796709	0.00461443
220	0.676754	0.00479714	0.692856	0.00477114
221	1.10266	0.00600309	1.09679	0.00577507
222	1.02519	0.00664281	1.01714	0.00626906
223	1.06546	0.00606663	1.07501	0.0058781
224	0.945638	0.00593041	0.916288	0.00558432
225	1.11127	0.00532122	1.10859	0.00513108
226	0.908265	0.00465993	0.917122	0.00456513
227	1.03399	0.00537248	1.00192	0.00505636
228	0.825589	0.00513528	0.829185	0.00496129
229	1.32608	0.0062826	1.3288	0.00604414
230	0.997936	0.0053667	1.02072	0.00528797
231	0.985384	0.00572672	1.00056	0.00563634
232	1.1071	0.00584801	1.12143	0.0057026
233	0.898034	0.00490095	0.912656	0.00478529
234	0.83623	0.00514292	0.805796	0.00482027
235	0.727676	0.00475189	0.685084	0.00431589
236	0.858523	0.00561786	0.870833	0.00550095
237	0.885459	0.00510251	0.89093	0.004844
238	1.10871	0.0065407	1.12935	0.00637407
239	0.851098	0.00509826	0.849088	0.00486255
240	0.980379	0.00642806	0.978031	0.00626656
241	0.678655	0.00453191	0.709087	0.00445802
242	1.02916	0.00620349	1.04068	0.00604436
243	1.23565	0.00745649	1.26878	0.00731649
244	0.90573	0.00534681	0.89565	0.00517172
245	1.05155	0.00627095	1.03774	0.00598877
246	0.943103	0.00513155	0.903285	0.00478443
247	0.810794	0.00447747	0.812567	0.00433483
248	0.977177	0.00558624	0.986236	0.00546379
249	1.20054	0.00618052	1.21123	0.00598462
250	1.04552	0.00548004	1.06006	0.00534297
251	1.00024	0.00605515	1.02607	0.00598534
252	0.775865	0.00439559	0.744719	0.00405345
253	0.953732	0.005711	0.950904	0.00534089
254	1.01099	0.00550516	1.01491	0.00533629
255	1.18905	0.00645814	1.22213	0.00635307
256	1.00765	0.00536502	0.98533	0.00503007
257	1.21127	0.00619603	1.2172	0.00605265
258	0.956533	0.00592854	0.95552	0.00580661
259	1.17546	0.00464007	1.18439	0.00457484
260	0.90447	0.00513695	0.927314	0.00505872
261	0.856166	0.00536623	0.852092	0.00521164
262	1.14531	0.00652654	1.11658	0.00607852
263	1.09084	0.006411	1.08815	0.00607229
264	0.851268	0.00554654	0.860844	0.00531321
265	1.03371	0.00598626	1.04764	0.00582291
266	0.725633	0.00462363	0.726009	0.00447365
267	0.877022	0.00524538	0.875592	0.00503469
268	1.03915	0.00564637	1.03203	0.00546847
269	1.07249	0.00573344	1.05757	0.00553139
270	0.797275	0.00467703	0.780693	0.00441295
271	1.07568	0.00571887	1.07102	0.0055482
272	1.06681	0.00612197	1.02877	0.00566741
273	1.00433	0.0059437	1.01378	0.00581477
274	0.982469	0.00556725	0.97288	0.00519295
275	0.919391	0.00503164	0.931064	0.0048979
276	0.810216	0.00491364	0.836326	0.00479175
277	0.599904	0.00367278	0.582996	0.00336856
278	0.80847	0.00569605	0.773344	0.00538482
279	0.884908	0.00558883	0.891545	0.00545032
280	1.04845	0.00559232	0.99846	0.00517808
281	0.947529	0.00599538	0.965575	0.00595218
282	0.825529	0.00511929	0.787601	0.00469054
283	0.838779	0.00545232	0.798947	0.00511049
284	0.778894	0.00457565	0.753626	0.00417013
285	1.00402	0.00569039	0.999707	0.00555825
286	0.949674	0.00511826	0.959825	0.00498152
287	1.05695	0.0067288	1.05444	0.00638584
288	1.05788	0.00648469	1.01018	0.00605632
289	0.957216	0.00554336	0.952047	0.00541177
290	0.831194	0.0050452	0.814416	0.00476871
291	1.05678	0.00542043	1.07267	0.00526979
292	0.681082	0.00434553	0.685369	0.00417531
293	0.937506	0.00570906	0.906275	0.00527008
294	1.06251	0.00583809	1.06736	0.00559576
295	0.893737	0.00524682	0.874075	0.00482303
296	1.0622	0.00599697	1.08544	0.00593371
297	0.903836	0.00479998	0.937701	0.00472025
298	0.890976	0.00489323	0.855399	0.00458143
299	1.12092	0.006029	1.14163	0.00596659
300	0.890232	0.00509157	0.873073	0.00483549
301	0.960422	0.00546842	0.985321	0.00543022
302	0.891733	0.00527512	0.901594	0.00508982
303	0.868256	0.00503614	0.861921	0.0048661
304	1.08718	0.00589673	1.09554	0.005836
305	1.0167	0.00581678	1.00257	0.00550231
306	0.927242	0.00558132	0.916404	0.00540005
307	0.95476	0.00522632	0.944853	0.00496834
308	0.892387	0.00478828	0.894961	0.00462756
309	0.958268	0.00567516	0.986456	0.00560126
310	1.13304	0.00566074	1.14029	0.00550761
311	0.905456	0.00421393	0.893795	0.00400621
312	1.154	0.00595709	1.17411	0.00585272
313	0.99685	0.00483514	1.01088	0.00481509
314	0.937141	0.0054068	0.951744	0.00533513
315	0.933886	0.00539428	0.935992	0.00517181
316	0.699614	0.00413187	0.678892	0.00386716
317	0.909554	0.00459468	0.885144	0.00429944
318	0.899689	0.00511708	0.904153	0.00499178
319	0.712722	0.00449878	0.726417	0.00443898
320	0.885602	0.00512588	0.89372	0.0050192
321	1.01117	0.00524948	1.01488	0.00503706
322	0.825868	0.00464256	0.830842	0.00453887
323	0.923429	0.00490629	0.93996	0.00472078
324	1.02417	0.00536291	1.04612	0.00531536
325	0.657278	0.0038741	0.661466	0.00379335
326	0.770024	0.00421773	0.761692	0.00410044
327	0.894722	0.00508532	0.865814	0.0047268
328	0.838634	0.00500937	0.853767	0.00492301
329	1.24561	0.00524785	1.24698	0.00505552
330	0.753899	0.00432615	0.760427	0.00414463
331	1.12169	0.00611526	1.10434	0.00576471
332	1.06028	0.00526954	1.06977	0.00516555
333	1.05775	0.00475638	1.06089	0.0046181
334	0.972154	0.0050163	0.968513	0.00487365
335	1.21548	0.00695358	1.2364	0.0068374
336	0.83324	0.00457703	0.859598	0.0045223
337	0.961796	0.00553988	0.928211	0.00515459
338	0.60776	0.00367457	0.610924	0.00358789
339	1.19253	0.00649505	1.19338	0.00623737
340	0.835415	0.00499564	0.851811	0.00475166
341	1.34965	0.00699149	1.34062	0.00672357
342	1.06706	0.0055657	1.08125	0.00543516
343	0.781451	0.00473962	0.807275	0.0046033
344	1.11982	0.00592344	1.11922	0.00573854
345	1.07405	0.00525356	1.06296	0.00508805
346	1.31103	0.00450258	1.3188	0.00446403
347	0.765727	0.00487703	0.764123	0.00459457
348	1.11453	0.00545104	1.1383	0.00542478
349	1.16579	0.00448658	1.16614	0.00438139
350	1.02892	0.00552223	1.02284	0.00522191
351	0.906012	0.00497327	0.909504	0.00480443
352	1.23497	0.00619013	1.23282	0.00602603
353	0.832125	0.00465708	0.825192	0.00451221
354	0.921901	0.00509598	0.888974	0.00474022
355	0.912366	0.00433936	0.872141	0.00403425
356	1.03624	0.0054982	1.06361	0.00540993
357	0.863708	0.00526716	0.861601	0.00508536
358	0.69555	0.00386133	0.705547	0.00381518
359	0.749686	0.00416743	0.740943	0.00403895
360	1.01889	0.00561137	1.01592	0.00546788
361	0.822947	0.00512852	0.828453	0.004952
362	0.929264	0.00527805	0.944787	0.00524674
363	1.07798	0.0059396	1.06017	0.00569901
364	0.941707	0.00534882	0.898294	0.00492444
365	1.0274	0.00564425	1.06713	0.00555326
366	0.98774	0.00465552	0.976559	0.00444991
367	0.894687	0.00416448	0.901312	0.00404185
368	0.823513	0.00475024	0.832556	0.00468984
369	0.774101	0.00448763	0.767156	0.00436198
370	0.686702	0.00414687	0.693582	0.00408497
371	1.05438	0.00552196	1.06078	0.00540304
372	1.21436	0.00600167	1.21789	0.00584515
373	1.17288	0.00589426	1.1787	0.00575731
374	1.02268	0.00603672	0.998232	0.00579334
375	1.11787	0.00614463	1.1564	0.0061052
376	0.763173	0.00443728	0.765916	0.00429522
377	0.711867	0.00402609	0.722217	0.00399032
378	0.683265	0.00404536	0.694381	0.00400041
379	1.50441	0.00702746	1.52747	0.00697677
380	0.737189	0.0036888	0.752929	0.0036408
381	0.945475	0.00478096	0.946398	0.00463192
382	0.814789	0.00453788	0.824485	0.00450562
383	0.735208	0.00434249	0.701292	0.00402856
384	1.00778	0.00523223	0.977994	0.00485163
385	0.82989	0.00448007	0.848696	0.0044313
386	0.850776	0.00470909	0.862743	0.00468357
387	0.847548	0.00474286	0.853277	0.00467876
388	1.16191	0.00530336	1.19342	0.00528781
389	1.11481	0.00545707	1.13865	0.00537299
390	0.819683	0.00438755	0.803008	0.00418653
391	0.839348	0.00511349	0.804369	0.00478548
392	1.05238	0.00475442	1.02939	0.00447149
393	0.950619	0.00383794	0.900356	0.00355345
394	0.852496	0.00408659	0.868236	0.0038178
395	0.8497	0.00492826	0.864014	0.00485073
396	0.819527	0.00394947	0.815297	0.00383447
397	1.04835	0.00496549	1.05626	0.00487456
398	0.783075	0.00323468	0.78944	0.00322721
399	0.748821	0.00406558	0.768679	0.00403263
400	0.895253	0.00465865	0.874878	0.00439074
401	1.29933	0.00521891	1.28628	0.00496042
402	1.08444	0.00568139	1.05146	0.00531627
403	0.901109	0.00481577	0.919202	0.00473767
404	0.822784	0.00468721	0.791409	0.00435253
405	1.03139	0.00510008	1.0087	0.00478434
406	0.840508	0.00399066	0.82929	0.00378687
407	0.8685	0.00466768	0.881365	0.00465527
408	0.839336	0.00390049	0.858848	0.00387417
409	0.791643	0.00416712	0.818988	0.00410838
410	0.964648	0.00458653	0.978703	0.00450942
411	0.937364	0.0043615	0.948031	0.00426206
412	1.02774	0.00489788	1.03473	0.00479103
413	1.129	0.00575536	1.15091	0.0056951
414	1.07324	0.00544208	1.04274	0.00506999
415	0.790536	0.00465003	0.799263	0.00460232
416	0.832164	0.00397993	0.845385	0.00381489
417	0.867776	0.0044249	0.867095	0.00425792
418	0.804192	0.00430086	0.806419	0.00426473
419	0.98909	0.00472849	0.980335	0.00461901
420	1.66089	0.00657618	1.63786	0.00632735
421	0.90854	0.00469289	0.922819	0.00461378
422	1.24067	0.00624415	1.24633	0.00608168
423	1.01167	0.0050671	1.04848	0.00504735
424	1.06027	0.00549315	1.04128	0.00522388
425	1.14539	0.00550491	1.13542	0.00522436
426	1.14307	0.00599725	1.16217	0.00593614
427	1.16876	0.00583414	1.1509	0.00552566
428	1.18472	0.00541016	1.21843	0.00537377
429	1.42843	0.00764369	1.47998	0.00757942
430	1.12052	0.00569882	1.09769	0.00542961
431	0.848812	0.0046142	0.851718	0.0045301
432	1.21097	0.00592455	1.2061	0.00563742
433	1.18747	0.00554866	1.22948	0.00554453
434	0.795734	0.00400787	0.797612	0.00376744
435	0.870104	0.00409052	0.852046	0.00376548
436	0.838624	0.00460227	0.862941	0.00455066
437	1.12635	0.00484769	1.11243	0.00464249
438	0.877647	0.00477873	0.883682	0.0047638
439	0.604063	0.0039152	0.630219	0.0039022
440	0.929909	0.00431896	0.92835	0.0041979
441	0.867576	0.00478619	0.872664	0.00471309
442	0.998772	0.00557364	1.03305	0.00544405
443	0.961794	0.00492881	0.974702	0.00492881
444	0.9034	0.00365657	0.902377	0.00353879
445	0.835435	0.00466775	0.841373	0.00463201
446	0.923655	0.0042824	0.930598	0.00425634
447	0.932638	0.00502414	0.920422	0.00479022
448	0.833699	0.00464884	0.850249	0.00462133
449	0.864448	0.00468503	0.891692	0.0046516
450	0.816097	0.00460185	0.839853	0.00451749
451	0.739131	0.00372478	0.740971	0.00366863
452	0.657765	0.00358796	0.661972	0.00347109
453	0.698209	0.00383372	0.68751	0.0036655
454	0.63458	0.00326828	0.616936	0.00313712
455	0.909541	0.00492014	0.911351	0.0047745
456	0.619478	0.0030055	0.620674	0.0029471
457	0.860887	0.00515196	0.825112	0.00490925
458	1.24944	0.00491332	1.25972	0.0048318
459	0.768278	0.00424177	0.768557	0.00417542
460	0.680867	0.0038289	0.685981	0.00376415
461	0.941017	0.00463302	0.943889	0.00453431
462	0.959873	0.00464765	0.961936	0.00452667
463	0.789506	0.0039579	0.812609	0.00380429
464	0.704346	0.00383553	0.726405	0.00374648
465	0.963002	0.00450303	0.979536	0.00436633
466	1.64815	0.00573472	1.662	0.00570219
467	0.918826	0.00447955	0.932155	0.00440057
468	0.785217	0.00368265	0.803135	0.00361171
469	0.95296	0.0051872	0.956894	0.0049889
470	1.12283	0.00410448	1.14333	0.0040849
471	1.26525	0.00621495	1.30618	0.00618921
472	0.730239	0.00389935	0.7035	0.00376934
473	1.33098	0.00703558	1.23851	0.00655516
474	0.924546	0.00411544	0.926273	0.00404147
475	1.17169	0.00501923	1.18698	0.0049067
476	0.994225	0.00498192	0.980722	0.00482289
477	1.03283	0.00448967	1.04039	0.00440948
478	0.81712	0.00422792	0.833399	0.00422792
479	0.868942	0.00432622	0.889564	0.00424597
480	0.981257	0.00483386	0.99095	0.00478295
481	1.13678	0.00564482	1.10792	0.00530698
482	1.1391	0.00530048	1.12797	0.00509738
483	1.31821	0.00560899	1.1999	0.00492636
484	1.22477	0.00610574	1.19355	0.00580619
485	1.17232	0.00618606	1.17014	0.00600831
486	0.883665	0.00512044	0.870363	0.00486704
487	0.792893	0.00391782	0.805573	0.00373932
488	0.692639	0.00307459	0.707684	0.00307459
489	0.692303	0.00364628	0.69974	0.00364628
490	1.86532	0.00692759	1.87484	0.0068894
491	0.910959	0.00429953	0.891833	0.00403285
492	0.763311	0.00398928	0.756478	0.00393359
493	0.970151	0.0056507	0.988139	0.0056507
494	0.964899	0.0043441	0.951898	0.00406187
495	0.904836	0.00456584	0.916717	0.00433603
496	0.805243	0.00412866	0.816346	0.0040779
497	1.13084	0.00527617	0.924824	0.00419553
498	0.95063	0.00491405	0.951085	0.0047865
499	0.942737	0.00448173	0.94884	0.0044459
500	0.823365	0.00326363	0.858826	0.00326363
501	0.999595	0.0047644	1.0007	0.00467704
502	0.800696	0.00426886	0.866875	0.00424371
503	1.11675	0.00567758	1.13542	0.00564878
504	1.07995	0.00500103	1.13284	0.00497852
505	1.18967	0.00601834	1.20126	0.0059652
506	1.06673	0.0049698	1.07588	0.00486424
507	1.45157	0.00541154	1.37052	0.0048884
508	0.67524	0.00338115	0.688168	0.00337018
509	0.49666	0.0027788	0.477084	0.0024603
510	0.940406	0.00415145	0.955504	0.00415145
511	0.868294	0.00403167	0.859028	0.00393706
512	1.00645	0.00475598	1.0051	0.00470571
513	0.675314	0.00348347	0.700613	0.00345387
514	0.685523	0.00353283	0.688094	0.00341169
515	0.720689	0.00322219	0.687386	0.00294024
516	0.86278	0.00378421	0.872402	0.00374275
517	0.961317	0.00449506	0.956607	0.00437635
518	1.00856	0.00388684	1.01635	0.00387556
519	0.89536	0.00463931	0.866907	0.00423463
520	1.27454	0.00509125	1.29647	0.00481877
521	0.865735	0.00444608	0.883318	0.00433576
522	1.06583	0.00440041	1.08414	0.0043504
523	0.747111	0.00377514	0.755557	0.00373851
524	0.658325	0.00344968	0.66071	0.00334869
525	1.02333	0.00468251	0.99781	0.00440155
526	0.668374	0.00342028	0.66532	0.00333186
527	0.631485	0.00283758	0.630608	0.00269162
528	0.760722	0.00359532	0.76802	0.00359445
529	1.14536	0.00492308	1.13451	0.00470165
530	0.923411	0.00515715	0.860495	0.00457873
531	0.735211	0.00347556	0.739501	0.00327411
532	0.653862	0.00287491	0.666945	0.00287491
533	0.604096	0.00289914	0.599462	0.00285715
534	1.06872	0.00512129	1.02817	0.00481343
535	1.00854	0.00400558	1.00461	0.00390604
536	1.04715	0.00497316	1.07426	0.00495383
537	0.956853	0.00415054	0.864621	0.00369719
538	1.57224	0.00573329	1.59754	0.00570214
539	1.16652	0.0047715	1.16139	0.00466693
540	0.973002	0.00472764	0.928837	0.00432829
541	0.695356	0.00366246	0.678513	0.00346704
542	0.730559	0.00387634	0.709549	0.00371546
543	1.82788	0.00493995	1.81773	0.004871
544	0.810987	0.0035887	0.746467	0.00322814
545	1.16629	0.00525913	1.15606	0.00505967
546	1.46301	0.00582356	1.49371	0.00581327
547	0.780987	0.00376759	0.799904	0.00368336
548	0.980591	0.00437552	0.987495	0.00430812
549	0.691598	0.00339959	0.704455	0.00339913
550	0.880957	0.00386571	0.924825	0.00382532
551	0.687438	0.00406995	0.671412	0.00392059
552	0.845631	0.00352171	0.828022	0.00335543
553	0.648947	0.00337555	0.637605	0.00328076
554	0.591124	0.00308159	0.578132	0.00284782
555	0.810876	0.00412716	0.804611	0.0039232
556	0.816746	0.00300505	0.819488	0.00297128
557	0.938744	0.0042025	0.964917	0.0042025
558	0.983148	0.00391094	0.925817	0.00368635
559	0.792839	0.00342515	0.797629	0.00342468
560	1.22835	0.00500853	1.19989	0.00465046
561	0.73778	0.00312291	0.728026	0.00296792
562	1.26231	0.0042397	1.22772	0.00385271
563	0.946525	0.00426168	0.945905	0.00419315
564	0.723272	0.0030678	0.707896	0.00287245
565	1.84441	0.00512086	1.86037	0.00511887
566	1.28315	0.0063334	1.3004	0.00629203
567	0.862664	0.00516419	0.874722	0.00506731
568	1.05254	0.00446431	0.995405	0.00417327
569	0.851657	0.00377935	0.869643	0.00377935
570	0.762334	0.00345032	0.718449	0.00311499
571	0.782259	0.00412325	0.80012	0.00400384
572	0.719666	0.00398964	0.687334	0.00374725
573	0.992434	0.00464646	0.99776	0.00458678
574	0.767993	0.00386114	0.779974	0.00385439
575	1.00647	0.00446964	1.02269	0.00443746
576	1.31754	0.0044762	1.32935	0.0044694
577	0.804415	0.00436016	0.820188	0.00436016
578	1.06015	0.00453956	1.05797	0.00444409
579	0.835157	0.00339287	0.843958	0.00339287
580	0.992019	0.00501206	1.00054	0.0049519
